State,year,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,LSAD,ALAND,AWATER,variable,light_gini,top_10_sh,Gini,Top10_adj,Top5_adj,Top1_adj,top_5_sh,top_1_sh
Mississippi,1995,28,01779790,0400000US28,28,MS,00,121533519481,3926919758,lpp_1995,0.379976849490354,31.4872831049214,0.5570997,41.20512772,28.26595879,12.71175289,21.6455980064092,8.97566642302599
Mississippi,2000,28,01779790,0400000US28,28,MS,00,121533519481,3926919758,lpp_2000,0.53960067164329,42.5714379046922,0.55705148,39.79453659,28.78694916,15.14393711,30.2528598718749,13.4159880858684
Mississippi,2005,28,01779790,0400000US28,28,MS,00,121533519481,3926919758,lpp_2005,0.522452248386128,41.1505599130957,0.677090883,42.11595535,31.57881546,15.81046867,29.1235335794688,13.331580785605
Mississippi,2010,28,01779790,0400000US28,28,MS,00,121533519481,3926919758,lpp_2010,0.523119983462577,40.6424890495927,0.607103229,45.83388519,32.91098404,17.43026924,28.2565217862571,11.8468049269685
Missouri,1990,29,01779791,0400000US29,29,MO,00,178050802184,2489425460,lpp_1990,0.442659347885595,32.1929632670547,0.558604836,37.73493958,25.64016914,12.30215263,20.5492903483761,6.64371970676746
Missouri,1995,29,01779791,0400000US29,29,MO,00,178050802184,2489425460,lpp_1995,0.409070056308835,30.6352579888164,0.555843115,39.33905792,27.86272049,13.23900509,19.725779945419,6.48659071532772
Missouri,2000,29,01779791,0400000US29,29,MO,00,178050802184,2489425460,lpp_2000,0.50672891446064,38.1522580210292,0.570598185,41.87139893,30.95977783,16.87640381,26.5723848153409,11.0511307982155
Missouri,2005,29,01779791,0400000US29,29,MO,00,178050802184,2489425460,lpp_2005,0.522917998569466,39.8936414622574,0.605548024,41.94095612,31.24744415,17.10691261,28.3337738759841,12.7491312253803
Missouri,2010,29,01779791,0400000US29,29,MO,00,178050802184,2489425460,lpp_2010,0.510809047319428,37.637901237618,0.589468837,44.47644806,31.39060593,16.49108505,25.5283641331167,10.0277885281634
Montana,1990,30,00767982,0400000US30,30,MT,00,376962738765,3869208832,lpp_1990,0.707303626584158,57.4812021774176,0.585717618,36.12234879,23.44249725,10.85188007,43.2221280539811,20.1090700528576
Montana,1995,30,00767982,0400000US30,30,MT,00,376962738765,3869208832,lpp_1995,0.693976390753504,55.4384854754574,0.581535876,37.97773743,26.37958527,11.42771244,40.9716926978802,19.5051900772947
Montana,2000,30,00767982,0400000US30,30,MT,00,376962738765,3869208832,lpp_2000,0.524263012455142,38.7829242989938,0.586926043,40.14559555,29.28498077,15.21979523,26.4290375593885,9.34126960571715
Montana,2005,30,00767982,0400000US30,30,MT,00,376962738765,3869208832,lpp_2005,0.524082298363942,39.016384081077,0.669218123,41.97412872,31.62291145,16.35141182,26.956326226699,9.93601817394608
Montana,2010,30,00767982,0400000US30,30,MT,00,376962738765,3869208832,lpp_2010,0.513026981749316,36.5860642800165,0.6125893,43.84048843,31.04897881,15.97341728,24.4489378133201,8.31223601340149
